City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Severo-Kurilsk,RU,2021-06-14 14:32:20,50.6789,156.125,44.01,89,25,2.33
67,Lorengau,PG,2021-06-14 14:32:21,-2.0226,147.2712,81.45,73,14,7.96
68,Saskylakh,RU,2021-06-14 14:32:22,71.9167,114.0833,43.88,83,100,14.63
69,Hermanus,ZA,2021-06-14 14:32:23,-34.4187,19.2345,66.79,75,3,7.72
70,Bacalar,MX,2021-06-14 14:32:23,18.6667,-88.3833,80.01,94,90,0.0
71,Geraldton,AU,2021-06-14 14:31:16,-28.7667,114.6,63.01,67,90,8.05
72,Leningradskiy,RU,2021-06-14 14:32:25,69.3833,178.4167,33.42,97,100,6.11
73,Geelong,AU,2021-06-14 14:31:55,-38.1471,144.3607,51.1,90,90,1.01
74,Gua Musang,MY,2021-06-14 14:32:26,4.8823,101.9644,75.15,97,80,1.72
75,Touros,BR,2021-06-14 14:32:27,-5.1989,-35.4608,86.9,64,7,13.29
76,Ilhabela,BR,2021-06-14 14:32:27,-23.7781,-45.3581,70.07,61,1,4.52
77,Tutoia,BR,2021-06-14 14:32:28,-2.7619,-42.2744,87.78,62,61,10.07
78,Barreirinhas,BR,2021-06-14 14:32:29,-2.7469,-42.8264,87.12,62,24,8.81
79,Ajdabiya,LY,2021-06-14 14:32:29,30.7554,20.2263,78.37,49,0,16.96
80,Araouane,ML,2021-06-14 14:32:30,18.9048,-3.5265,111.16,11,13,8.59
81,Hohhot,CN,2021-06-14 14:30:57,40.8106,111.6522,70.09,52,0,6.71
82,Torbay,CA,2021-06-14 14:32:31,47.6666,-52.7314,55.89,78,75,8.05
83,Antalaha,MG,2021-06-14 14:32:31,-14.9003,50.2788,73.69,87,9,1.5
84,Sterlibashevo,RU,2021-06-14 14:32:32,53.4376,55.2578,70.84,69,96,8.37
85,Butaritari,KI,2021-06-14 14:32:32,3.0707,172.7902,82.8,76,28,14.14
86,Kurayoshi,JP,2021-06-14 14:32:33,35.4333,133.8167,71.42,95,69,2.08
87,Sao Filipe,CV,2021-06-14 14:32:34,14.8961,-24.4956,76.01,72,97,8.08
88,Pisco,PE,2021-06-14 14:32:34,-13.7,-76.2167,64.45,72,51,4.61
89,Constitucion,CL,2021-06-14 14:32:35,-35.3333,-72.4167,52.61,54,100,7.74
90,Mouila,GA,2021-06-14 14:32:36,-1.8685,11.0559,89.58,56,96,1.88
91,Narsaq,GL,2021-06-14 14:32:36,60.9167,-46.05,52.02,70,53,7.18
92,Kendari,ID,2021-06-14 14:32:37,-3.945,122.4989,74.48,93,91,1.79
93,Norman Wells,CA,2021-06-14 14:32:37,65.282,-126.8329,50.04,87,75,3.44
94,Kudahuvadhoo,MV,2021-06-14 14:32:38,2.6708,72.8944,83.34,73,33,11.45
95,Tabas,IR,2021-06-14 14:32:38,33.5959,56.9244,107.42,7,0,17.83
96,Camacha,PT,2021-06-14 14:32:39,33.0833,-16.3333,71.53,73,40,14.97
97,Nishihara,JP,2021-06-14 14:32:40,26.1842,127.7558,79.88,89,75,3.44
98,Aklavik,CA,2021-06-14 14:32:41,68.2191,-135.0107,41.83,100,90,3.44
99,Custoias,PT,2021-06-14 14:32:41,41.1053,-7.321,86.45,26,12,2.57
100,San Cristobal,VE,2021-06-14 14:32:42,7.7669,-72.225,75.38,47,87,7.23
101,Sharon,US,2021-06-14 14:32:42,41.2331,-80.4934,77.14,65,75,11.5
102,Lebu,CL,2021-06-14 14:32:43,-37.6167,-73.65,48.4,64,8,19.62
103,Barrow,US,2021-06-14 14:32:44,71.2906,-156.7887,32.02,93,90,13.8
104,Hibbing,US,2021-06-14 14:32:45,47.4272,-92.9377,72.45,49,1,13.8
105,Daru,PG,2021-06-14 14:32:45,-9.0763,143.2092,77.92,92,99,8.93
106,New Norfolk,AU,2021-06-14 14:32:46,-42.7826,147.0587,51.58,84,100,0.83
107,Lagoa,PT,2021-06-14 14:32:47,39.05,-27.9833,68.11,74,23,0.89
108,Bryan,US,2021-06-14 14:30:19,30.6744,-96.37,87.55,79,1,0.0
109,Westerly,US,2021-06-14 14:32:48,41.3776,-71.8273,67.46,90,90,5.75
110,Bredasdorp,ZA,2021-06-14 14:32:48,-34.5322,20.0403,66.27,68,0,9.22
111,Thompson,CA,2021-06-14 14:32:49,55.7435,-97.8558,48.36,93,90,4.61
112,Kapaa,US,2021-06-14 14:32:50,22.0752,-159.319,75.52,83,75,10.36
113,Mount Gambier,AU,2021-06-14 14:31:37,-37.8333,140.7667,51.71,66,96,11.5
114,Provideniya,RU,2021-06-14 14:32:50,64.3833,-173.3,36.01,99,100,6.93
115,Salinas,US,2021-06-14 14:30:37,36.6777,-121.6555,65.86,81,40,3.44
116,Talnakh,RU,2021-06-14 14:32:51,69.4865,88.3972,47.7,84,13,10.45
117,Nemuro,JP,2021-06-14 14:32:52,43.3236,145.575,46.99,97,100,13.31
118,Namibe,AO,2021-06-14 14:32:52,-15.1961,12.1522,90.23,51,0,11.5
119,Karabulak,RU,2021-06-14 14:32:53,43.3036,44.8964,79.36,70,9,5.01
120,Maceio,BR,2021-06-14 14:31:22,-9.6658,-35.7353,81.84,74,75,9.22
121,Cidreira,BR,2021-06-14 14:32:54,-30.1811,-50.2056,66.31,58,0,1.7
122,Faanui,PF,2021-06-14 14:32:54,-16.4833,-151.75,81.1,71,34,17.38
123,Dawei,MM,2021-06-14 14:32:55,14.0833,98.2,76.42,95,100,2.68
124,Conversion,PH,2021-06-14 14:32:55,15.8984,121.1277,74.37,94,100,0.76
125,Great Bend,US,2021-06-14 14:32:56,38.3645,-98.7648,83.84,65,1,5.01
126,Tamiahua,MX,2021-06-14 14:32:57,21.2667,-97.45,75.25,90,100,6.93
127,Vuktyl,RU,2021-06-14 14:32:57,63.8567,57.3094,71.69,61,70,9.86
128,Thinadhoo,MV,2021-06-14 14:32:58,0.5333,72.9333,83.48,72,96,7.45
129,Labuhan,ID,2021-06-14 14:32:58,-6.8844,112.2051,80.08,80,100,6.24
130,Xinyu,CN,2021-06-14 14:32:59,27.8043,114.9334,82.18,77,100,8.1
131,Naze,JP,2021-06-14 14:32:59,28.3667,129.4833,74.14,86,1,5.84
132,Ornskoldsvik,SE,2021-06-14 14:33:00,63.2909,18.7153,64.22,59,75,10.36
133,Dikson,RU,2021-06-14 14:33:01,73.5069,80.5464,36.3,94,27,9.82
134,Cherskiy,RU,2021-06-14 14:33:01,68.75,161.3,46.45,56,88,7.38
135,Namtsy,RU,2021-06-14 14:33:02,62.7161,129.6658,57.31,56,100,3.51
136,Bathsheba,BB,2021-06-14 14:33:02,13.2167,-59.5167,84.81,65,40,23.02
137,Padang,ID,2021-06-14 14:33:03,-0.9492,100.3543,79.05,86,100,3.4
138,Fortuna,US,2021-06-14 14:33:03,40.5982,-124.1573,61.2,76,90,0.0
139,Nuuk,GL,2021-06-14 14:33:04,64.1835,-51.7216,43.41,75,75,10.36
