City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Chumikan,RU,54.7183,135.315,45.61,87,100,11.95,light rain
80,Olinda,BR,-8.0089,-34.8553,71.33,83,40,4.61,scattered clouds
81,Karatau,KZ,43.1667,70.4667,84.96,18,59,11.34,broken clouds
82,Santa Maria,BR,-29.6842,-53.8069,40.93,88,54,3.27,broken clouds
83,Vila Franca Do Campo,PT,37.7167,-25.4333,63.01,93,100,12.66,overcast clouds
84,Deputatskiy,RU,69.3,139.9,60.53,51,44,21.61,scattered clouds
85,Oropesa,PE,-13.5928,-71.7719,45.79,91,87,3.94,overcast clouds
86,Puno,PE,-15.8333,-70.0333,39.92,58,74,3.42,broken clouds
87,Yerbogachen,RU,61.2767,108.0108,71.04,41,46,4.79,scattered clouds
88,Borogontsy,RU,62.6683,131.1683,78.49,23,50,5.99,scattered clouds
89,College,US,64.8569,-147.8028,63.21,88,75,3.44,light rain
90,Kruisfontein,ZA,-34.0033,24.7314,54.32,76,0,6.93,clear sky
91,Yucca Valley,US,34.1142,-116.4322,89.06,25,98,1.99,overcast clouds
92,Tromso,NO,69.6496,18.957,46.42,66,20,8.05,few clouds
93,Severo-Kurilsk,RU,50.6789,156.125,49.55,74,77,6.96,broken clouds
94,Hermanus,ZA,-34.4187,19.2345,57.9,82,12,7.43,few clouds
95,Puri,IN,19.8,85.85,83.37,71,100,12.08,heavy intensity rain
96,Codrington,AU,-38.2667,141.9667,55.85,86,95,5.59,overcast clouds
97,Sur,OM,22.5667,59.5289,97.72,36,0,6.62,clear sky
98,Cabo San Lucas,MX,22.8909,-109.9124,87.8,70,24,16.24,few clouds
99,Ahipara,NZ,-35.1667,173.1667,56.28,84,4,5.77,clear sky
100,Gwadar,PK,25.1216,62.3254,91.18,57,0,9.08,clear sky
101,Port Elizabeth,ZA,-33.918,25.5701,55.69,82,0,6.91,clear sky
102,Floro,NO,61.5996,5.0328,57.27,100,75,17.27,mist
103,Cururupu,BR,-1.8283,-44.8683,73.02,97,5,2.26,clear sky
104,Atuona,PF,-9.8,-139.0333,79.54,75,25,26.02,scattered clouds
105,Egvekinot,RU,66.3167,-179.1667,35.85,92,100,7.14,overcast clouds
106,Rock Springs,US,41.5875,-109.2029,74.64,22,1,5.01,clear sky
107,Hithadhoo,MV,-0.6,73.0833,83.79,73,94,10.29,overcast clouds
108,Ancud,CL,-41.8697,-73.8203,43.23,83,0,8.77,clear sky
109,Pangnirtung,CA,66.1451,-65.7125,35.02,94,100,0.18,overcast clouds
110,Arrifes,PT,37.7667,-25.7,61.05,94,75,9.22,broken clouds
111,High Level,CA,58.5169,-117.136,48.31,93,90,12.66,moderate rain
112,Sawtell,AU,-30.3833,153.1,71.92,52,0,5.75,clear sky
113,Sorland,NO,67.667,12.6934,46.47,93,100,14.88,overcast clouds
114,Esperance,AU,-33.8667,121.9,58.84,56,89,7.14,overcast clouds
115,Bethel,US,41.3712,-73.414,61.48,77,1,0.0,clear sky
116,Haapiti,PF,-17.5667,-149.8667,78.53,79,100,19.42,light rain
117,Bijie,CN,27.3125,105.2942,79.7,68,96,8.68,overcast clouds
118,Burnie,AU,-41.0667,145.9167,55.06,78,43,2.21,scattered clouds
119,Benghazi,LY,32.1167,20.0667,73.24,50,0,6.49,clear sky
120,Garissa,KE,-0.4536,39.6401,79.03,56,65,18.61,broken clouds
121,Puerto Ayora,EC,-0.7393,-90.3518,73.54,90,44,4.0,scattered clouds
122,Lompoc,US,34.6391,-120.4579,68.77,77,1,3.44,clear sky
123,Kaitangata,NZ,-46.2817,169.8464,47.93,83,98,5.35,overcast clouds
124,Mehamn,NO,71.0357,27.8492,44.51,71,97,26.33,light rain
125,Nome,US,64.5011,-165.4064,60.17,80,1,9.22,clear sky
126,New Norfolk,AU,-42.7826,147.0587,52.57,84,100,1.99,overcast clouds
127,Takoradi,GH,4.8845,-1.7554,76.8,87,93,8.01,light rain
128,Acapulco,MX,16.8634,-99.8901,78.26,90,100,7.29,overcast clouds
129,Kamenka,RU,51.3223,42.7678,72.32,74,1,12.33,clear sky
130,Thompson,CA,55.7435,-97.8558,59.16,88,90,20.71,overcast clouds
