City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
275,Maningrida,AU,87.31,broken clouds,-12.0667,134.2667,Dhukurrdji Lodge
279,Labuhan,ID,85.55,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
281,Sabha,LY,82.04,clear sky,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
284,Kahului,US,78.82,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
289,Umm Lajj,SA,86.23,clear sky,25.0213,37.2685,Moon light Furnished Units
296,Jaffna,LK,84.83,overcast clouds,9.6685,80.0074,Green Grass Hotel & Restaurant
297,Makakilo City,US,78.57,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
299,Sibu,MY,86.31,scattered clouds,2.3,111.8167,RH HOTEL (4 Star)
303,Yinchuan,CN,77.68,broken clouds,38.4681,106.2731,JJ Inns - Yinchuan New Moon Square Branch
308,Talgar,KZ,78.96,broken clouds,43.3027,77.2395,Sanna
310,Laguna,US,83.32,broken clouds,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
311,Bubaque,GW,80.47,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
315,Yeppoon,AU,80.38,few clouds,-23.1333,150.7333,Villa Mar Colina
316,Maumere,ID,84.06,few clouds,-8.6199,122.2111,Sylvia Hotel
320,Rockport,US,84.0,clear sky,28.0206,-97.0544,"Holiday Inn Express & Suites Rockport - Bay View, an IHG Hotel"
325,Crestview,US,78.24,clear sky,30.7621,-86.5705,"Holiday Inn Express & Suites Crestview South I-10, an IHG Hotel"
327,Abu Zabad,SD,81.97,overcast clouds,12.35,29.25,حامد محمد نور
333,Tongliao,CN,80.38,few clouds,43.6125,122.2653,Meirujia Hotel
334,Kirakira,SB,83.16,broken clouds,-10.4544,161.9205,SanBiz Lodge
335,Novi Ligure,IT,76.66,broken clouds,44.7608,8.7896,Relais Villa Pomela
339,Porto Velho,BR,75.25,scattered clouds,-8.7619,-63.9039,Hotel Central
342,Miandrivazo,MG,75.58,clear sky,-19.5167,45.4667,Hôtel Arc En Ciel Miandrivazo
347,Brokopondo,SR,75.97,overcast clouds,4.75,-55.1667,Matu Island
348,Sergeyevka,KZ,88.29,scattered clouds,53.88,67.4158,Amina
353,Luganville,VU,80.31,broken clouds,-15.5333,167.1667,The Espiritu Hotel
354,Saint Pete Beach,US,76.15,scattered clouds,27.7253,-82.7412,Grand Plaza Hotel - St. Pete Beach
360,Tabou,CI,76.8,overcast clouds,4.423,-7.3528,hotêl doufoulougou
365,Hambantota,LK,89.94,few clouds,6.1241,81.1185,Bungalow 63
368,Avarua,CK,76.8,light rain,-21.2078,-159.775,Paradise Inn
369,Fukuma,JP,87.1,light rain,33.7667,130.4667,Masago
374,Mackay,AU,79.05,overcast clouds,-21.15,149.2,International Lodge Motel
378,Key West,US,78.01,overcast clouds,24.5557,-81.7826,Fairfield Inn & Suites by Marriott Key West
381,Sorong,ID,82.17,broken clouds,-0.8833,131.25,waigo splash hotel
389,Atar,MR,83.37,clear sky,20.5169,-13.0499,Oumou Elghoura
398,Qui Nhon,VN,89.69,scattered clouds,13.7667,109.2333,Hoang Yen Canary Hotel
401,Tevaitoa,PF,79.93,light rain,-16.7833,-151.5,Hôtel Raiatea Lodge
406,Shimoda,JP,81.16,broken clouds,34.6667,138.95,Shimoda Tokyu Hotel
407,Salalah,OM,87.76,broken clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
409,Baghdad,IQ,84.11,clear sky,33.3406,44.4009,Baghdad Hotel
417,Antalaha,MG,77.11,broken clouds,-14.9003,50.2788,Hotel Vitasoa
419,Irbil,IQ,76.82,clear sky,36.1926,44.0106,Erbil International Hotel
423,Muli,MV,83.86,overcast clouds,2.9167,73.5667,Medhufushi Island Resort
425,Mareeba,AU,83.44,few clouds,-17.0,145.4333,Trinity Plains Tourist Park
430,Tateyama,JP,78.1,broken clouds,34.9833,139.8667,Tateyama Seaside Hotel
436,Khoy,IR,88.32,clear sky,38.5504,44.9535,ترک سل
442,Portel,BR,75.56,moderate rain,-1.9356,-50.8211,Kitnet do Marcos
445,Sri Aman,MY,86.09,scattered clouds,1.2376,111.4621,Seri Simanggang Hotel
451,Axim,GH,77.07,light rain,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
458,Zhaotong,CN,82.22,overcast clouds,27.3167,103.7167,Jingguan Home
464,Teknaf,BD,78.82,overcast clouds,20.8624,92.3058,Forestry Guesthouse
465,Tulum,MX,77.65,overcast clouds,20.2167,-87.4667,Kin Ha Tulum
468,Shebalino,RU,76.53,light rain,51.2917,85.6772,Gostinitsa
476,Kolosovka,RU,76.73,scattered clouds,56.4678,73.611,Kolosovskaya Gostinitsa
477,Babol,IR,84.27,clear sky,36.5513,52.679,Reza Hotel
478,Angoche,MZ,75.97,clear sky,-16.2325,39.9086,Guest House HESADA
484,Aswan,EG,88.16,clear sky,24.0934,32.907,Nuba Nile
490,Coahuayana,MX,81.36,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
491,Bathsheba,BB,79.41,moderate rain,13.2167,-59.5167,Atlantis Hotel
492,Waddan,LY,75.78,few clouds,29.1614,16.139,محل الشريف محمد العايب
493,Baracoa,CU,79.7,broken clouds,20.3467,-74.4958,Hostal Rio Miel
495,New Iberia,US,80.96,overcast clouds,30.0035,-91.8187,La Quinta Inn & Suites by Wyndham New Iberia
508,Kassala,SD,89.69,broken clouds,15.451,36.4,Amassi Hotel Gash
520,Oistins,BB,78.89,broken clouds,13.0667,-59.5333,Butterfly Beach Hotel
525,Klyuchi,RU,85.39,scattered clouds,52.2667,79.1667,Vesolaya Mayovka
529,Maceio,BR,76.44,overcast clouds,-9.6658,-35.7353,Poutur Pousada
530,Mangrol,IN,87.48,broken clouds,21.1167,70.1167,Hotel The Royal Honours
